Unique ID,Unique Lake,sampledate,LSWT (°C)
FIN107690,FIN10800,24/08/2021,13.3
FIN107691,FIN10800,03/08/2015,16.5
FIN107693,FIN10800,24/07/2017,18.3
FIN107694,FIN10800,15/07/2020,19.3
FIN107695,FIN10800,31/07/2016,21.9
FIN107696,FIN10800,15/07/2020,18.6
FIN107697,FIN10800,31/07/2016,21.9
FIN107698,FIN10801,30/09/1993,5.1
FIN107699,FIN10802,22/05/1990,11.3
FIN107700,FIN10803,14/08/1991,16.4
FIN107701,FIN10803,26/08/2015,19.7
FIN107703,FIN10803,27/08/2013,17.7
FIN107704,FIN10803,24/07/2014,26
FIN107705,FIN10803,16/07/2018,24
FIN107706,FIN10803,26/06/1991,17.5
FIN107707,FIN10803,26/09/2012,7.3
FIN107708,FIN10803,28/08/2012,16
FIN107710,FIN10803,20/08/2001,18.6
FIN107711,FIN10803,04/10/2011,9.2
FIN107712,FIN10803,23/08/2018,16.2
FIN107713,FIN10803,21/08/2003,18.5
FIN107714,FIN10803,22/08/2002,22.7
FIN107715,FIN10803,22/07/2013,15
FIN107716,FIN10803,29/09/2014,8.8
FIN107717,FIN10803,17/08/2000,17.4
FIN107718,FIN10803,29/08/2011,18.2
FIN107719,FIN10803,01/09/2014,14
FIN107720,FIN10803,19/08/2008,16.7
FIN107721,FIN10803,12/08/2010,20.7
FIN107722,FIN10803,05/10/2015,7.2
FIN107723,FIN10803,31/08/2010,12.5
FIN107724,FIN10803,05/09/2006,16.7
FIN107725,FIN10803,09/10/2013,9.4
FIN107726,FIN10803,27/07/2015,17.1
FIN107727,FIN10803,24/08/2004,14.7
FIN107728,FIN10803,12/10/2006,8.8
FIN107729,FIN10803,28/08/2007,13.9
FIN107730,FIN10803,26/08/2009,16.8
FIN107731,FIN10803,05/10/2010,7.3
FIN107733,FIN10803,07/09/2005,15
FIN107734,FIN10803,22/07/2009,18.6
FIN107736,FIN10804,25/08/1987,13.9
FIN107737,FIN10804,26/06/1991,17
FIN107738,FIN10805,22/05/1990,10.2
FIN107739,FIN10806,17/06/1991,13.5
FIN107740,FIN10806,14/06/2022,17.3
FIN107741,FIN10806,15/08/1991,18.3
FIN107742,FIN10806,08/08/2022,20.9
FIN107743,FIN10806,23/08/1993,14.3
FIN107744,FIN10806,02/06/1992,19.5
FIN107745,FIN10806,24/08/1999,14.8
FIN107746,FIN10806,07/06/1993,11.5
FIN107747,FIN10806,17/08/1998,15
FIN107748,FIN10806,19/08/2002,20.9
FIN107750,FIN10806,22/06/2015,20
FIN107751,FIN10806,27/08/2007,16.4
FIN107752,FIN10806,21/08/2003,16.9
FIN107817,FIN10835,02/08/2007,17.5
FIN107818,FIN10836,27/05/1980,12.4
FIN107819,FIN10837,31/08/2011,17.1
FIN107820,FIN10838,09/09/1987,10.4
FIN107821,FIN10839,25/07/2018,27.5
FIN107822,FIN10839,03/09/2003,10
FIN107823,FIN10839,25/07/2018,27.4
FIN107824,FIN10840,16/10/2002,3
FIN107825,FIN10840,15/08/2016,15.5
FIN107826,FIN10841,22/05/1990,11.7
FIN107827,FIN10841,29/09/2003,9.8
FIN107828,FIN10842,22/05/1990,10.4
FIN107829,FIN10843,26/07/2016,21.6
FIN107830,FIN10844,22/05/1990,11.5
FIN107831,FIN10844,06/08/2002,17.9
FIN107832,FIN10845,09/06/1986,14.7
FIN107833,FIN10845,15/05/2002,13.7
FIN107834,FIN10845,27/07/2017,18.1
FIN107835,FIN10846,30/08/2001,16.7
FIN107836,FIN10847,22/05/1990,11.9
FIN107837,FIN10847,15/08/2019,17.2
FIN107838,FIN10847,27/07/2017,18.1
FIN107839,FIN10847,04/08/2015,15.9
FIN107840,FIN10847,09/08/2006,21
FIN107841,FIN10847,09/08/2018,20.5
FIN107842,FIN10847,11/07/2012,18.5
FIN107843,FIN10847,13/08/2015,18.8
FIN107844,FIN10847,06/07/2020,17.4
FIN107845,FIN10847,29/08/2002,20.1
FIN107846,FIN10847,22/05/1990,10.3
FIN107847,FIN10847,26/07/2017,16.9
FIN107848,FIN10847,08/08/2006,19.8
FIN107849,FIN10847,05/09/2005,14
FIN107850,FIN10847,02/08/2010,20.3
FIN107851,FIN10848,22/05/1990,11.5
FIN107852,FIN10848,17/08/2004,15.9
FIN107853,FIN10848,21/08/2002,22.3
FIN107854,FIN10848,29/08/2018,17.9
FIN107855,FIN10848,06/08/2019,15.5
FIN107856,FIN10848,29/08/2022,17.1
FIN107857,FIN10848,19/07/2005,23.1
FIN107858,FIN10849,05/09/1995,16.5
FIN107859,FIN10849,22/08/2006,20.1
FIN107860,FIN10849,17/08/2004,16.2
FIN107861,FIN10849,22/08/2000,17.2
FIN107862,FIN10849,29/07/2003,21
FIN107863,FIN10849,20/08/2001,17.6
FIN107864,FIN10850,31/05/1988,16.9
FIN107865,FIN10851,06/06/1985,10.2
FIN107866,FIN10851,13/08/2003,18.8
FIN107867,FIN10851,20/09/1984,10.5
FIN107868,FIN10851,31/08/2004,14.2
FIN107869,FIN10851,09/08/1984,18.2
FIN107870,FIN10851,09/06/1986,14.8
FIN107871,FIN10851,22/08/2017,16.8
FIN107872,FIN10851,06/06/1985,9
FIN107873,FIN10851,09/08/1984,17
FIN107874,FIN10851,20/09/1984,10.1
FRA107906,FRA10854,03/09/2015,19.7
FRA107908,FRA10855,02/09/2015,18
GBR141246,GBR12563,17/08/2015,18.4
GBR141253,GBR12569,24/08/2015,16.4
GBR141256,GBR12571,18/08/2015,17.5
GBR141257,GBR12571,18/08/2015,18
GBR141263,GBR12573,17/08/2015,15.7
GBR141266,GBR12575,17/08/2015,16.8
GBR141268,GBR12576,20/08/2015,17.6
GBR141273,GBR12578,20/08/2015,17.7
GRC108242,GRC10943,16/09/2015,26
GRC108243,GRC10944,06/09/2015,28.8
GRC108245,GRC10945,05/10/2015,21.71
GRC108247,GRC10946,18/09/2015,25.8
HRV107034,HRV10621,27/08/2015,26.3
HRV107066,HRV10623,28/08/2015,25.9
HRV107067,HRV10624,27/08/2015,28
HRV107069,HRV10625,21/07/2015,29.16
HRV107071,HRV10626,20/08/2015,24.3
HRV107074,HRV10627,24/08/2015,25.9
HRV107076,HRV10628,23/07/2015,24.9
HRV107078,HRV10629,23/07/2015,21.7
HRV107080,HRV10630,20/08/2015,22.3
HRV107081,HRV10631,27/08/2015,16.7
HRV107082,HRV10632,31/07/2015,24.6
HRV107083,HRV10633,21/08/2015,24.8
HRV107086,HRV10634,12/07/2015,27.9
HUN108285,HUN10969,07/08/2015,27.8
HUN108385,HUN10971,07/08/2015,27.5
HUN108387,HUN10972,07/08/2015,27.4
IRL110876,IRL11003,25/08/2015,14.6
IRL111355,IRL11014,27/08/2015,14.8
IRL111541,IRL11020,25/08/2015,15.2
ITA111723,ITA11027,11/08/2015,24.04
ITA111773,ITA11029,07/09/2015,21.16
ITA111838,ITA11034,03/08/2015,25.37
ITA111840,ITA11035,17/08/2015,24.9
ITA111841,ITA11036,28/07/2015,23.76
ITA111844,ITA11037,04/08/2015,18.48
ITA111848,ITA11039,22/07/2015,17.75
LTU115439,LTU11057,11/08/2015,25.5
LTU115441,LTU11058,11/08/2015,24.8
LTU115442,LTU11059,17/08/2015,22.2
LTU115444,LTU11060,03/08/2015,21.9
LTU115446,LTU11061,04/08/2015,22
LTU115449,LTU11062,25/08/2015,21.5
LTU115450,LTU11063,01/08/2015,17.6
LTU115452,LTU11064,18/08/2015,20.8
LTU115455,LTU11065,14/08/2015,23.3
LTU115456,LTU11066,03/08/2015,19.9
LTU115459,LTU11067,24/08/2015,20.8
LTU115460,LTU11068,24/08/2015,21.2
LTU115462,LTU11069,07/08/2015,24.2
LTU115464,LTU11070,01/08/2015,16.8
LTU115466,LTU11071,12/08/2015,25.4
MKD115468,MKD11072,07/09/2015,24.5
MKD115470,MKD11073,08/09/2015,24.5
NLD126532,NLD11890,12/08/2015,22.51
NLD126698,NLD11903,17/08/2015,20.68
NLD126699,NLD11903,17/08/2015,20.34
NLD126943,NLD11915,02/09/2015,19.26
NLD126945,NLD11916,12/08/2015,22.15
NLD127010,NLD11919,19/08/2015,19.71
NLD127012,NLD11920,27/08/2015,20.31
NLD127014,NLD11921,05/08/2015,21.43
NLD127016,NLD11922,21/08/2015,21.5
NLD129172,NLD11980,07/08/2015,23.73
NLD129175,NLD11981,12/08/2015,23.73
NLD129177,NLD11982,28/08/2015,20.98
NLD129179,NLD11983,17/08/2015,19.88
NOR131964,NOR12084,26/08/2015,18.9
NOR131967,NOR12086,19/08/2015,19.14
NOR131968,NOR12086,19/08/2015,19.61
