Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
CAN104775,CAN10258,07/08/2003,NA,0,NA,0.64
CAN104777,CAN10260,02/08/1996,NA,0,NA,0.6
CAN104778,CAN10261,12/06/2014,NA,0,NA,0.47
CAN104779,CAN10262,16/08/2006,NA,15,NA,0.88
CAN104780,CAN10262,16/08/2006,NA,7,NA,0.7
CAN104781,CAN10263,11/06/2014,NA,0,NA,0.38
CAN104784,CAN10266,30/07/1996,NA,0,NA,0.2
CAN104790,CAN10269,07/07/2016,NA,0,NA,0.83
CAN104795,CAN10273,10/09/2018,NA,0,NA,0.29
CAN104798,CAN10275,14/09/2005,NA,0,NA,0.72
CAN104799,CAN10276,08/08/1996,NA,0,NA,0.6
CAN104800,CAN10276,08/08/1996,NA,0,NA,0.6
CAN104801,CAN10276,08/08/1996,NA,0,NA,0.3
CAN104804,CAN10279,26/08/1997,NA,0,NA,0.7
CAN104805,CAN10279,02/09/1998,NA,0,NA,0.9
CAN104808,CAN10282,24/08/2004,NA,0,NA,0.55
CAN104810,CAN10284,15/11/2002,NA,0,NA,1.85
CAN104812,CAN10284,03/07/2014,NA,6,NA,0.69
CAN104813,CAN10284,03/07/2014,NA,0,NA,0.69
CAN104816,CAN10287,26/08/1997,NA,0,NA,0.5
CAN104817,CAN10287,16/08/1998,NA,0,NA,0.8
CAN104920,CAN10292,26/08/1997,NA,0,NA,0.3
CAN104921,CAN10292,16/08/1998,NA,0,NA,0.3
CAN104922,CAN10292,19/07/1998,NA,0,NA,0.5
CAN104923,CAN10292,26/08/1997,NA,0,NA,0.4
CAN105230,CAN10321,25/06/2003,NA,0,NA,0.62
CAN105388,CAN10327,20/08/1996,NA,0,NA,0.4
CAN105432,CAN10330,20/08/1996,NA,0,NA,1
CAN105554,CAN10368,24/09/1998,NA,0,NA,1
CAN105559,CAN10372,24/09/1998,NA,0,NA,1.6
CAN105564,CAN10376,13/05/1997,NA,0,NA,2.3
CAN105565,CAN10376,26/02/1997,NA,0,NA,3.7
CAN105566,CAN10376,17/11/1997,NA,0,NA,2.7
CAN105567,CAN10376,11/09/1996,NA,0,NA,0.9
CAN105580,CAN10387,15/07/1990,NA,0,NA,0.93
CAN105581,CAN10387,17/06/1990,NA,0,NA,1.1
CAN105582,CAN10387,15/10/1990,NA,0,NA,6.5
CAN105586,CAN10390,25/09/2002,NA,0,NA,0.81
CAN105594,CAN10394,23/07/1990,NA,0,NA,0.47
CAN105595,CAN10394,17/10/1990,NA,0,NA,0.5
CAN105601,CAN10398,25/06/2003,NA,0,NA,0.39
CAN105609,CAN10402,24/06/2003,NA,0,NA,0.76
CAN105624,CAN10411,29/11/1990,NA,0,NA,0.55
CAN105625,CAN10411,19/06/1990,NA,0,NA,0.39
CAN105626,CAN10411,26/07/1990,NA,0,NA,0.58
CAN105635,CAN10414,10/06/1990,NA,0,NA,0.63
CAN105636,CAN10414,20/08/1990,NA,0,NA,0.8
CAN105637,CAN10414,10/11/1990,NA,0,NA,1.2
CAN105638,CAN10415,20/06/1990,NA,0,NA,0.28
CAN105639,CAN10415,14/08/1990,NA,0,NA,0.24
CAN105640,CAN10415,28/11/1990,NA,0,NA,0.26
CAN105643,CAN10416,22/08/1996,NA,0,NA,1
